case_id,trap,effort,run,expected,prediction,correct,reasoning_tokens,output_tokens,raw_output
contaminated_01,distraction,low,1,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,low,2,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,low,3,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,low,4,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,low,5,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,low,6,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,low,7,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,low,8,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,low,9,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,low,10,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,high,1,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,high,2,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,high,3,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,high,4,account,account,True,16,30,"{""category"":""account""}"
contaminated_01,distraction,high,5,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,high,6,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,high,7,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,high,8,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,high,9,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,high,10,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,xhigh,1,account,account,True,18,32,"{""category"":""account""}"
contaminated_01,distraction,xhigh,2,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,xhigh,3,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,xhigh,4,account,account,True,11,25,"{""category"":""account""}"
contaminated_01,distraction,xhigh,5,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,xhigh,6,account,account,True,14,28,"{""category"":""account""}"
